artist,title
taylor swift,anti-hero
bizarrap & shakira,"shakira: bzrp music sessions, vol. 53"
sam smith & kim petras,unholy
jelly roll,son of a sinner
lainey wilson,heart like a truck
rihanna,lift me up (from black panther: wakanda forever - music from and inspired by)
hardy & lainey wilson,wait in the truck
nick carter,hurts to love you
meghan trainor,made you look
sean paul,temperature
morgan wallen,thought you should know
jeff beck & rod stewart,people get ready
daughtry,separate ways (worlds apart) [feat. lzzy hale]
david guetta & bebe rexha,i'm good (blue)
onerepublic,i ain't worried
kane brown & katelyn brown,thank god
zach bryan,something in the orange (z&e's version)
sia,unstoppable
lady gaga,bloody mary
bailey zimmerman,rock and a hard place
"french montana, dj drama & cheeze",new punani
morgan wallen,you proof
"chinx, dj drama & french montana",the oath
"french montana, dj drama & mr.chicken",forever
"french montana, dj drama & benny the butcher",rza
"french montana, dj drama & est gee",free smoke (feat. big30)
"french montana, dj drama & rob49",igloo
rema & selena gomez,calm down
"french montana, dj drama & jeremih",choose you
"french montana, dj drama & cheeze",addicted to you
french montana & dj drama,not so bad
"french montana, smooky margielaa & a$ap rocky",chit chat (feat. dj drama)
"french montana, stove god cooks & dj drama",intro (feat. cheeze)
"king combs, french montana & dj drama",can't stop won't stop (remix) [feat. kodak black]
"vory, dj drama & french montana",project baby (remix)
morgan wallen,one thing at a time
harry styles,as it was
alaura lynne,i ain't a bitch
coi leray,players
lady gaga,hold my hand
luke combs,"going, going, gone"
bazzi,mine
mike posner,cooler than me (single mix)
"metro boomin, the weeknd & 21 savage",creepin'
luke combs,the kind of love we make
bailey zimmerman,fall in love
jeff beck,freeway jam
brandon lake,gratitude
sza,kill bill
fetish,trench
jvke,golden hour
morgan wallen,wasted on you
elton john & britney spears,hold me closer
beyoncé,cuff it
tom macdonald,ghost
jordan davis,what my world spins around
david guetta & bebe rexha,i'm good (blue)
chris brown,under the influence
"french montana, dj drama & cheeze",going yeezy
carin leon & grupo frontera,que vuelvas
lily meola,daydream
nate smith,wreckage
jelly roll,need a favor
fuerza regida & grupo frontera,bebe dame
chris stapleton,tennessee whiskey
jeff beck,cause we've ended as lovers
zach bryan,tishomingo
lizzo,about damn time
colton dixon,build a boat
the weeknd,die for you
luke grimes,no horse to ride
the kiffness & rushawn,it's a beautiful day (reprise)
ed sheeran,shivers
cece winans,goodness of god (live)
the yardbirds,for your love
jax,victoria’s secret
cole swindell,she had me at heads carolina
dean lewis,how do i say goodbye
miguel,sure thing
morgan wallen,chasin' you
lil uzi vert,just wanna rock
plain white t's,hey there delilah
the cramps,goo goo muck
lainey wilson,watermelon moonshine
lewis capaldi,forget me
the monkees,i'm a believer
zach bryan,something in the orange
elton john & dua lipa,cold heart (pnau remix)
p!nk,sober
megan moroney,tennessee orange
stephen sanchez,until i found you
bad omens,just pretend
the yardbirds,heart full of soul (2015 remaster)
steve lacy,bad habit
sleep token,the summoning
consumed by fire,first things first
tyler childers,way of the triune god (hallelujah version)
katy nichole & big daddy weave,god is in this story
tiësto & tate mcrae,10:35
cian ducrot,i'll be waiting
